"id","name","incorporationDate","jurisdiction","registrationNumber","address","addressEntity","agentRepresentation","alephUrl","amount","amountEur","amountUsd","authoredAssessments","ownershipOwner","bikCode","bankAccounts","bvdId","coatoCode","caemCode","callForTenders","callsMade","callsReceived","capital","classification","agencyClient","contractAwardSupplier","contractAuthority","country","mainCountry","courtCase","createdAt","debtCreditor","cryptoWallets","currency","economicActivityDeclarant","economicActivityHolder","dunsCode","debtDebtor","delegatedCallForTenders","description","directorshipOrganization","directorshipDirector","dissolutionDate","mentionedBy","documentedBy","email","emailsReceived","emailsSent","employees","eventsInvolved","fssCode","fnsCode","economicActivitySender","economicActivityReceiver","icijId","idNumber","innCode","ipoCode","irsCode","identification","indexText","securities","jibCode","kppCode","keywords","leiCode","legalForm","unknownLinkFrom","unknownLinkTo","mbsCode","membershipOrganization","membershipMember","messagesReceived","messagesSent","modifiedAt","notes","noteEntities","ogrnCode","okopfCode","okpoCode","oksmCode","okvedCode","opencorporatesUrl","eventsOrganized","alias","ownershipAsset","pfrNumber","parent","paymentPayer","paymentBeneficiary","phone","predecessors","previousName","program","projectParticipation","publisher","publisherUrl","retrievedAt","cikCode","swiftBic","sanctions","sector","matchSimilars","candidateSimilars","proof","sourceUrl","status","subsidiaries","successors","summary","taxNumber","taxRolls","taxStatus","topics","userAccounts","vatCode","voenCode","operatedVehicles","ownedVehicles","weakAlias","website","wikidataId","wikipediaUrl","ibcRuc"
"002bd2f412297c3c6571f4af4b94aee5560ab107","PROFACTOR GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.firmenbuchgrundbuch.at/fbgb/easy/fb/documents?affiliate=10&inputCommercialRegisterNumber=129658z","","",""
"004f175ff3cd1d91fdb684d0fc268dc64574f2fc","Gemeinschaftspraxis für Allgemeinmedizin Dr. Rabady und Dr. Berger OG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"005a88541bda0d86a7f7d73d6d438fc6ad06df7b","Central Danube Region Marketing & Development GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.firmenbuchgrundbuch.at/fbgb/easy/fb/documents?affiliate=10&inputCommercialRegisterNumber=237674x","","",""
"008262801718cbd7f812d4bb94e6a01e4e4fd502","LINZ STROM GAS WÄRME GmbH für Energiedienstleistungen und Telekommunikation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.firmenbuchgrundbuch.at/fbgb/easy/fb/documents?affiliate=10&inputCommercialRegisterNumber=199533g","","",""
"0095631e9b0533bfda00f55ea0ca244da815264a","Haslinger Stahlbau GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://www.haslinger.co.at/","","",""
"00a2c0d93137ae5732e23ee2c3163f07487eefdb","Aspanggründe BF zwölf-Beta GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.firmenbuchgrundbuch.at/fbgb/easy/fb/documents?affiliate=10&inputCommercialRegisterNumber=502305i","","",""
"00a9b59dbf2964873f0f057ae5800e418cfa99db","BeCCo-FUEL Biodieselproduktionsgesellschaft mbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00c197817a1cb3aad550c87dff33705172ab77e2","EVN Bulgaria Stromvertrieb Holding GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.firmenbuchgrundbuch.at/fbgb/easy/fb/documents?affiliate=10&inputCommercialRegisterNumber=389905s","","",""
"00d36762835e4fbe4d9f944285954e60bc4fabf8","Fürstauer Liegenschaftsverwaltungs GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00e5f6ec7b9a6ce168bc1a2eae54236307caa268","Gesundheit Österreich Forschungs- und Planungs GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.firmenbuchgrundbuch.at/fbgb/easy/fb/documents?affiliate=10&inputCommercialRegisterNumber=282883f; http://www.goeg.at/","","",""
"00ef29d20f283892e7368bd0212ae6cdf18f83e1","Immobilien St. Pölten GesmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00f94f059fcc48c5808039553fd017ce75d57565","SILTEC Dicht- und Klebesysteme GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00fc779c6c014ea5636f9ba7d6aa2b388aa8ef82","VENDOME IMMO Projektentwicklungs GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.firmenbuchgrundbuch.at/fbgb/easy/fb/documents?affiliate=10&inputCommercialRegisterNumber=483314g","","",""
"014555f846c8e39642695580b5fa75d7733d8d90","IEF-Service GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0150a2a84c30fc596fb1fc2a079a7505702c6e63","Aspern E16-Beta Projektentwicklungs GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.firmenbuchgrundbuch.at/fbgb/easy/fb/documents?affiliate=10&inputCommercialRegisterNumber=543175m","","",""
"0151d1e71e011986c6a0d3e8cb02a18f11cebcf3","Sporthotel Kühtai GmbH & Co KG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.firmenbuchgrundbuch.at/fbgb/easy/fb/documents?affiliate=10&inputCommercialRegisterNumber=515780a; https://www.sporthotel-kuehtai.com/","","",""
"016426c76f0d9a3263a8a8e99f42e27474c2b5ab","ATB SEVER d.o.o.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"016922d3441f29ea9f0007f57d92aff519fa9890","Wals-Siezenheim Immobilien GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"016e1e77da129428a536d71591ecdedce92a465b","HYPO NOE Landesbank AG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01735c60cdc7b889e5510fcede27d3366e188f6b","Scholz Austria GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.firmenbuchgrundbuch.at/fbgb/easy/fb/documents?affiliate=10&inputCommercialRegisterNumber=285905z","","",""
"0194cf6d83616e0ffaf63d7e1fc2cb9b89f9bed1","Johnson & Johnson Medical Products GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.firmenbuchgrundbuch.at/fbgb/easy/fb/documents?affiliate=10&inputCommercialRegisterNumber=185815h","","",""
"01a80596cb149a0759c8f01945ea89e08027de63","Aspanggründe BF neun-Beta GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.firmenbuchgrundbuch.at/fbgb/easy/fb/documents?affiliate=10&inputCommercialRegisterNumber=502254i","","",""
"01af89f35432574da07127d21ea2fa4d2b422c0d","voestalpine group-IT GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.firmenbuchgrundbuch.at/fbgb/easy/fb/documents?affiliate=10&inputCommercialRegisterNumber=228454m","","",""
"01b735927c1b891fa4177fd02cf676c9b2483733","Aspanggründe Quartierentwicklung GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.firmenbuchgrundbuch.at/fbgb/easy/fb/documents?affiliate=10&inputCommercialRegisterNumber=471222z","","",""
"01c31898a4c690698e38911b7671ed8f86eb6bd5","flabs - flamingo board systems GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01cba3dd72553c9d5c3f5fa246ac38639a2ea3e1","EMCOM Beteiligungs GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.firmenbuchgrundbuch.at/fbgb/easy/fb/documents?affiliate=10&inputCommercialRegisterNumber=129357g","","",""
"01cc069a3f200c9a62a9e85fdb9711177683c2fa","Nationalpark Oberösterreichische Kalkalpen Gesellschaft m.b.H.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.firmenbuchgrundbuch.at/fbgb/easy/fb/documents?affiliate=10&inputCommercialRegisterNumber=158230t","","",""
