"id","name","country","legalForm","status","address","agentRepresentation","alephUrl","authoredAssessments","ownershipOwner","bankAccounts","bvdId","callsMade","callsReceived","classification","agencyClient","contractAwardSupplier","contractAuthority","mainCountry","courtCase","debtCreditor","economicActivityDeclarant","economicActivityHolder","dunsCode","debtDebtor","description","directorshipOrganization","directorshipDirector","dissolutionDate","mentionedBy","documentedBy","email","emailsReceived","emailsSent","eventsInvolved","economicActivitySender","economicActivityReceiver","icijId","idNumber","innCode","incorporationDate","indexText","jurisdiction","keywords","unknownLinkFrom","unknownLinkTo","membershipOrganization","membershipMember","messagesReceived","messagesSent","modifiedAt","notes","okpoCode","opencorporatesUrl","eventsOrganized","alias","parent","passport","paymentPayer","paymentBeneficiary","phone","predecessors","previousName","program","publisher","publisherUrl","registrationNumber","retrievedAt","swiftBic","sameAs","sanctionEntity","sector","proof","sourceUrl","subsidiaries","successors","summary","taxNumber","taxRolls","taxStatus","topics","userAccounts","vatCode","operatedVehicles","ownedVehicles","weakAlias","website","wikidataId","wikipediaUrl"
"004531549d8d3296774a7e42dbcf721f64abd69e","VERKEHRS- UND REGIONALFORUM WALDVIERTEL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00482b6778266872d6c896126ef932f4571a6d4f","Verein zur Förderung des Schisports in Niederösterreich","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"007160088938204dc189981566e0d954e71be2c3","Sportverein Eibiswald (SVE)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"008ff8ffe20c4a402411a606c7e72b9044ddd92f","beteiligung.st, Die Fachstelle für Kinder-, Jugend- und BürgerInnenbeteiligung","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://www.beteiligung.st/","",""
"009fdc843c0a3379d420dfc7891b8160d6d8a16c","OIKOS, Verein für Suchtkranke","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://www.oikos-klagenfurt.at/","",""
"00c342239e557c1bd51841c08463a6d49eeb350f","Sportclub Wiener Viktoria (SC WV)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://www.wiener-viktoria.at/","",""
"00fe5348519e87b6a2173dcb7f95f739be4c5fdd","Mietervereinigung Österreichs, Landesorganisation Oberösterreich","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"010f771e42986261f2fdca4943b373ac3f897c75","Initiative Gemeinsam Wohnen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01108513f0adf1e9a2ecfba8f3025d42c434b264","Raiffeisenverband Tirol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://www.raiffeisenverband-tirol.at/","",""
"01179d1a3af9c34e57abd251299890200fc47b12","VEREIN ARBEITERHEIM MARGARETEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
