"id","asset","endDate","owner","percentage","startDate","alephUrl","sharesCurrency","date","description","namesMentioned","indexText","legalBasis","modifiedAt","sharesCount","publisher","publisherUrl","recordId","retrievedAt","role","sourceUrl","status","summary","ownershipType","sharesType","sharesValue"
"0015221b9968f59931964b423385879b022b07e0","c5c4198c93a72ca47ee932951a01ae2f43403817","","6d7130be11dc716efde8652c886ffe9eb7550c8f","100.00","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"002173ce138209a90a274618294c2806940159e1","f2e4703ed5c9d88b6c8f3f2815869010c35102a2","","b2508a26407c94d07c23ed54716e0480122d2f23","55.03","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"0034ffeee61c48674dfea508fa5ff79a6c9c66b4","35ac41b6c1f1b53138266e367b18dea68164d0e8","","c8882820029defc8565709a0e350133cc3498a27","100.00","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"00357b57fca204557ba7f512d0403324b53d6e48","1b7ac07fe027570c16062030686436390ec87357","","8c2ad4b902abef6eb2cb4d23ead3324b1be989bb","51.00","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"004cc8f55fa0592407999fa77cbf8e508b88e872","e137a91d26143bd2a8c23439b01c07525da26b59","","8fa69953a7830128e839b144937d3ce1d375eac5","50.00","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"008c75758cd2da13604ad45b31a36925b464e4a0","454a38706588ca411ea3be37b257ed664262f09c","","a3ebd38868f3fc9be9a3d9415538ef4a56be9fc4","24.00","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"009f62ca226a164f92b24872b48a67262e1daa8a","3664d07b1dfc9ad5e70d63b5c7e8b6f1828e6728","","42266092b839a4a6d1a21fda2de139c15e2e98d7","100.00","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"00aab2bffb569a85a8cb240dfdd96e98f027e75f","2843b0ae98ab29ba11093cde5e69cb04d25f3bc5","","a9e3a4faef64446b9eccfd4739f62a07348d12fc","100.00","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"00b19807ed65cd48b2210e3147bf7342f5bd13fc","636a83234e3e828089fdbfee52474fbbd8ca2075","","843bd8be249e983246d0e85aa2e27aaa620be68a","","","","","","","","","","","","","","","","","","","","KOMMANDITIST","",""
"00f88e26602365f00dc16b49f3f4e5fb3ba41235","7bd356a067a5aecb5aceef533e66ddf33b6ef46b","","63814aa19c46713a4aa8792382c86f7700d0f962","49.00","","","","","","","","","","","","","","","","","","","SHAREHOLDER","",""
"010fa9f670375e32700f4c07ed71bad0beabe561","4a42d8f4590eab3b2e1ea3673aba7911e68400e4","","227884a814e885c783dacfbd013a76fce1d37c73","26.00","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"0132653c5870c56ffe968f80371407a5f4c8b08d","9c96e88d356b0e98897421e3991a5770711adbd6","","78e3fe9980600b3115413e60e0b05354c0615a5c","100.00","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
