"id:ID",":LABEL","caption","name","incorporationDate","jurisdiction","registrationNumber","address","alephUrl","amount","amountEur","amountUsd","bikCode","bvdId","coatoCode","caemCode","capital","classification","country","mainCountry","currency","dunsCode","description","dissolutionDate","email","fssCode","fnsCode","icijId","idNumber","innCode","ipoCode","irsCode","jibCode","kppCode","keywords","legalForm","mbsCode","modifiedAt","notes","ogrnCode","okopfCode","okpoCode","oksmCode","okvedCode","opencorporatesUrl","alias","pfrNumber","phone","previousName","program","publisher","publisherUrl","retrievedAt","cikCode","swiftBic","sector","sourceUrl","status","summary","taxNumber","taxStatus","topics","vatCode","voenCode","weakAlias","website","wikidataId","wikipediaUrl","ibcRuc"
"entity:000d5212acf2fd0ef1ccd3b1ba2534911a200886","Value;Organization;Company;Thing;LegalEntity;Asset","ACP Business Applications GmbH","ACP Business Applications GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.firmenbuchgrundbuch.at/fbgb/easy/fb/documents?affiliate=10&inputCommercialRegisterNumber=392186w","","",""
"entity:002bd2f412297c3c6571f4af4b94aee5560ab107","Value;Organization;Company;Thing;LegalEntity;Asset","PROFACTOR GmbH","PROFACTOR GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.firmenbuchgrundbuch.at/fbgb/easy/fb/documents?affiliate=10&inputCommercialRegisterNumber=129658z","","",""
"entity:004f175ff3cd1d91fdb684d0fc268dc64574f2fc","Value;Organization;Company;Thing;LegalEntity;Asset","Gemeinschaftspraxis für Allgemeinmedizin Dr. Rabady und Dr. Berger OG","Gemeinschaftspraxis für Allgemeinmedizin Dr. Rabady und Dr. Berger OG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:005a88541bda0d86a7f7d73d6d438fc6ad06df7b","Value;Organization;Company;Thing;LegalEntity;Asset","Central Danube Region Marketing & Development GmbH","Central Danube Region Marketing & Development GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.firmenbuchgrundbuch.at/fbgb/easy/fb/documents?affiliate=10&inputCommercialRegisterNumber=237674x","","",""
"entity:008262801718cbd7f812d4bb94e6a01e4e4fd502","Value;Organization;Company;Thing;LegalEntity;Asset","LINZ STROM GAS WÄRME GmbH für Energiedienstleistungen und Telekommunikation","LINZ STROM GAS WÄRME GmbH für Energiedienstleistungen und Telekommunikation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.firmenbuchgrundbuch.at/fbgb/easy/fb/documents?affiliate=10&inputCommercialRegisterNumber=199533g","","",""
"entity:0095631e9b0533bfda00f55ea0ca244da815264a","Value;Organization;Company;Thing;LegalEntity;Asset","Haslinger Stahlbau GmbH","Haslinger Stahlbau GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://www.haslinger.co.at/","","",""
"entity:00a2c0d93137ae5732e23ee2c3163f07487eefdb","Value;Organization;Company;Thing;LegalEntity;Asset","Aspanggründe BF zwölf-Beta GmbH","Aspanggründe BF zwölf-Beta GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.firmenbuchgrundbuch.at/fbgb/easy/fb/documents?affiliate=10&inputCommercialRegisterNumber=502305i","","",""
"entity:00a9b59dbf2964873f0f057ae5800e418cfa99db","Value;Organization;Company;Thing;LegalEntity;Asset","BeCCo-FUEL Biodieselproduktionsgesellschaft mbH","BeCCo-FUEL Biodieselproduktionsgesellschaft mbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:00c197817a1cb3aad550c87dff33705172ab77e2","Value;Organization;Company;Thing;LegalEntity;Asset","EVN Bulgaria Stromvertrieb Holding GmbH","EVN Bulgaria Stromvertrieb Holding GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.firmenbuchgrundbuch.at/fbgb/easy/fb/documents?affiliate=10&inputCommercialRegisterNumber=389905s","","",""
"entity:00d36762835e4fbe4d9f944285954e60bc4fabf8","Value;Organization;Company;Thing;LegalEntity;Asset","Fürstauer Liegenschaftsverwaltungs GmbH","Fürstauer Liegenschaftsverwaltungs GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:00e5f6ec7b9a6ce168bc1a2eae54236307caa268","Value;Organization;Company;Thing;LegalEntity;Asset","Gesundheit Österreich Forschungs- und Planungs GmbH","Gesundheit Österreich Forschungs- und Planungs GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://www.goeg.at/","","",""
"entity:00ef29d20f283892e7368bd0212ae6cdf18f83e1","Value;Organization;Company;Thing;LegalEntity;Asset","Immobilien St. Pölten GesmbH","Immobilien St. Pölten GesmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:00f94f059fcc48c5808039553fd017ce75d57565","Value;Organization;Company;Thing;LegalEntity;Asset","SILTEC Dicht- und Klebesysteme GmbH","SILTEC Dicht- und Klebesysteme GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:014555f846c8e39642695580b5fa75d7733d8d90","Value;Organization;Company;Thing;LegalEntity;Asset","IEF-Service GmbH","IEF-Service GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:0150a2a84c30fc596fb1fc2a079a7505702c6e63","Value;Organization;Company;Thing;LegalEntity;Asset","Aspern E16-Beta Projektentwicklungs GmbH","Aspern E16-Beta Projektentwicklungs GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.firmenbuchgrundbuch.at/fbgb/easy/fb/documents?affiliate=10&inputCommercialRegisterNumber=543175m","","",""
"entity:0151d1e71e011986c6a0d3e8cb02a18f11cebcf3","Value;Organization;Company;Thing;LegalEntity;Asset","Sporthotel Kühtai GmbH & Co KG","Sporthotel Kühtai GmbH & Co KG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.firmenbuchgrundbuch.at/fbgb/easy/fb/documents?affiliate=10&inputCommercialRegisterNumber=515780a; https://www.sporthotel-kuehtai.com/","","",""
"entity:016426c76f0d9a3263a8a8e99f42e27474c2b5ab","Value;Organization;Company;Thing;LegalEntity;Asset","ATB SEVER d.o.o.","ATB SEVER d.o.o.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
