"id",":TYPE",":START_ID",":END_ID","role","endDate","startDate","alephUrl","date","description","modifiedAt","publisher","publisherUrl","recordId","retrievedAt","sourceUrl","status","summary"
"000020ea0e5060e3ae9791b930cdc9099274527b","MEMBERSHIP","entity:3dc7d89dee3e4d6ebfac7279a2c356feab495cc8","entity:b2dc72dc03f2130ddcefaa6407962e723be910cf","","","","","","Obmann Stellverteter","","","","","","","",""
"00002ace5898c73114244ac0004dff18b6fcc9eb","MEMBERSHIP","entity:98ac0209f5c11c5aeaf03cae2d60eb08dd383006","entity:52df103971e47b36550707db4c4a0c727e672785","","2021-02-10","2017-09-15","","","Kommanditist [285384h]","","","","","","","",""
"000eaa2f947ca8e1aab3d350498ce762b13048e3","MEMBERSHIP","entity:7b159f64e8154c505cffabf47ba48b6b04c92fbc","entity:40284c9ac39ef767c367f7cd4ed738fb92fbce14","","","","","","Kuratorium - MitgliedNicht im Vereinsregister eingetragen.","","","","","","","",""
"00194230c745a97c86f2c8370e3c1ab2704f0a37","MEMBERSHIP","entity:0ea54fee26d0a8a631a27699e3790eb8788f8682","entity:f9db3aee63179c76b94ba62d809b9fda2be53bc5","","","2016-09-02","","","Inhaber [457437b]","","","","","","","",""
"001a86caa803b670f515c85154d9a19483c69050","MEMBERSHIP","entity:d6e3232b667cc9ebe5fa32578e9cf0109a9ebce8","entity:0e5bfa05c4f4155490ee165da86e91912c8f4a15","","2009-04-09","2007-01-05","","","Mitglied des Aufsichtsrates [255932x]","","","","","","","",""
"002a7855dfdbc14da059cc42ea67a36a5871585c","MEMBERSHIP","entity:b916f11413d87be0c388433f9bffb430815136f7","entity:62c3873c392a59df296566aad06e9b790b9f1e8c","","","1996-01-01","","","Vorsitzende","","","","","","","",""
"0030af033adf645fff2ff4457e00d3f836c77137","MEMBERSHIP","entity:78934eaba437b81336ed424f2abcc8ef61af4867","entity:17ae1f686cf23d969d893805c32778939887e8b0","","","2019-10-23","","","Abgeordneter zum Nationalrat","","","","","","","",""
"00351a65197d2cbc840f43e597f189929a20563d","MEMBERSHIP","entity:68d3422ce3224c2a7baa673f3b4c124233f4645a","entity:b303e483041889e83488611c9e33b68b62795fff","","2006-08-26","2005-07-01","","","Stellvertreterin des Aufsichtsratsvorsitzenden [118997x]","","","","","","","",""
"005ee86dab11c981a0f48fef6d5c687965d8f745","MEMBERSHIP","entity:a5331b7087894dbfd688e055916208d68c816d90","entity:230db959d0af94aee41ce1362658dfb0d7fe4cc5","","","","","","Beirat","","","","","","","",""
"0061cf45beb32b1f5407599c837e283fa653d7f0","MEMBERSHIP","entity:4a3dfc7f0b410105133792e04fb96f206897bd74","entity:0a0b4460e35053965a3480293f853ecd4aa3e930","","","2006-03-31","","","Gesellschafter [084238f] Laut Offenlegung ""Treuhänder"" bis 18.2.2020. Funktion ist aber per 29.6.2020 immer noch im Firmenbuch als Gesellschafter aktiv.","","","","","","","",""
"0067c08b02514c5f723ffc2afc854c8610c8d5ce","MEMBERSHIP","entity:0a46a1d884f3f9a9ffb2933ff154ba03767eb3ca","entity:0ea6c585df54cc3786c31fed825b2520080a2bfc","","","2020-11-24","","","Abgeordnete zum Wiener Landtag und Gemeinderat","","","","","","","",""
