"id:ID",":LABEL","caption","name","country","legalForm","status","address","alephUrl","bvdId","classification","mainCountry","dunsCode","description","dissolutionDate","email","icijId","idNumber","innCode","incorporationDate","jurisdiction","keywords","modifiedAt","notes","okpoCode","opencorporatesUrl","alias","phone","previousName","program","publisher","publisherUrl","registrationNumber","retrievedAt","swiftBic","sector","sourceUrl","summary","taxNumber","taxStatus","topics","vatCode","weakAlias","website","wikidataId","wikipediaUrl"
"entity:004531549d8d3296774a7e42dbcf721f64abd69e","Organization;LegalEntity;Thing","VERKEHRS- UND REGIONALFORUM WALDVIERTEL","VERKEHRS- UND REGIONALFORUM WALDVIERTEL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:00482b6778266872d6c896126ef932f4571a6d4f","Organization;LegalEntity;Thing","Verein zur Förderung des Schisports in Niederösterreich","Verein zur Förderung des Schisports in Niederösterreich","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:007160088938204dc189981566e0d954e71be2c3","Organization;LegalEntity;Thing","Sportverein Eibiswald (SVE)","Sportverein Eibiswald (SVE)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:008ff8ffe20c4a402411a606c7e72b9044ddd92f","Organization;LegalEntity;Thing","beteiligung.st, Die Fachstelle für Kinder-, Jugend- und BürgerInnenbeteiligung","beteiligung.st, Die Fachstelle für Kinder-, Jugend- und BürgerInnenbeteiligung","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://www.beteiligung.st/","",""
"entity:009fdc843c0a3379d420dfc7891b8160d6d8a16c","Organization;LegalEntity;Thing","OIKOS, Verein für Suchtkranke","OIKOS, Verein für Suchtkranke","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://www.oikos-klagenfurt.at/","",""
"entity:00c342239e557c1bd51841c08463a6d49eeb350f","Organization;LegalEntity;Thing","Sportclub Wiener Viktoria (SC WV)","Sportclub Wiener Viktoria (SC WV)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://www.wiener-viktoria.at/","",""
"entity:00fe5348519e87b6a2173dcb7f95f739be4c5fdd","Organization;LegalEntity;Thing","Mietervereinigung Österreichs, Landesorganisation Oberösterreich","Mietervereinigung Österreichs, Landesorganisation Oberösterreich","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:010f771e42986261f2fdca4943b373ac3f897c75","Organization;LegalEntity;Thing","Initiative Gemeinsam Wohnen","Initiative Gemeinsam Wohnen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:01108513f0adf1e9a2ecfba8f3025d42c434b264","Organization;LegalEntity;Thing","Raiffeisenverband Tirol","Raiffeisenverband Tirol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://www.raiffeisenverband-tirol.at/","",""
"entity:01179d1a3af9c34e57abd251299890200fc47b12","Organization;LegalEntity;Thing","VEREIN ARBEITERHEIM MARGARETEN","VEREIN ARBEITERHEIM MARGARETEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:01254806c34ace4056f56bb1820571497ed1f0d6","Organization;LegalEntity;Thing","""Arbeitsgemeinschaft Katholischer Verbände Salzburgs""(AKVS)","""Arbeitsgemeinschaft Katholischer Verbände Salzburgs""(AKVS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:018b09d73b0ad4dade2b65887b6a625d2a1d3222","Organization;LegalEntity;Thing","Verein der Freundinnen der ""Frau und Politik""","Verein der Freundinnen der ""Frau und Politik""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
