"id",":TYPE",":START_ID",":END_ID","endDate","percentage","startDate","alephUrl","sharesCurrency","date","description","legalBasis","modifiedAt","sharesCount","publisher","publisherUrl","recordId","retrievedAt","role","sourceUrl","status","summary","ownershipType","sharesType","sharesValue"
"0015221b9968f59931964b423385879b022b07e0","OWNERSHIP","entity:6d7130be11dc716efde8652c886ffe9eb7550c8f","entity:c5c4198c93a72ca47ee932951a01ae2f43403817","","100.00","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"002a2f3dcd69f98db11c23a93531662cdb3ebd1d","OWNERSHIP","entity:f5ff62e5bd9c76bfde73f6dab2f6bf2cbb25ef92","entity:c51adbe4553e2ded87f50020217583d02aeb0118","","88.58","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"0034ffeee61c48674dfea508fa5ff79a6c9c66b4","OWNERSHIP","entity:c8882820029defc8565709a0e350133cc3498a27","entity:35ac41b6c1f1b53138266e367b18dea68164d0e8","","100.00","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"00357b57fca204557ba7f512d0403324b53d6e48","OWNERSHIP","entity:8c2ad4b902abef6eb2cb4d23ead3324b1be989bb","entity:1b7ac07fe027570c16062030686436390ec87357","","51.00","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"004cc8f55fa0592407999fa77cbf8e508b88e872","OWNERSHIP","entity:8fa69953a7830128e839b144937d3ce1d375eac5","entity:e137a91d26143bd2a8c23439b01c07525da26b59","","50.00","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"0080c3da383cc72c823b6a94905aa2e748a7ecfd","OWNERSHIP","entity:6145e14daed0681b44663eec93a6070091d516d8","entity:4fd2352e01c7fbdf48544b13336c48b7dec275af","","","","","","","","","","","","","","","","","","","UNBESCHRÄNKT HAFTENDER GESELLSCHAFTER","",""
"008c75758cd2da13604ad45b31a36925b464e4a0","OWNERSHIP","entity:a3ebd38868f3fc9be9a3d9415538ef4a56be9fc4","entity:454a38706588ca411ea3be37b257ed664262f09c","","24.00","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"009f62ca226a164f92b24872b48a67262e1daa8a","OWNERSHIP","entity:42266092b839a4a6d1a21fda2de139c15e2e98d7","entity:3664d07b1dfc9ad5e70d63b5c7e8b6f1828e6728","","100.00","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"00aab2bffb569a85a8cb240dfdd96e98f027e75f","OWNERSHIP","entity:a9e3a4faef64446b9eccfd4739f62a07348d12fc","entity:2843b0ae98ab29ba11093cde5e69cb04d25f3bc5","","100.00","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"00b19807ed65cd48b2210e3147bf7342f5bd13fc","OWNERSHIP","entity:843bd8be249e983246d0e85aa2e27aaa620be68a","entity:636a83234e3e828089fdbfee52474fbbd8ca2075","","","","","","","","","","","","","","","","","","","KOMMANDITIST","",""
